Symbol,Sector,Sector_Code,Market_Cap,PE_Ratio,PB_Ratio,ROE,Profit_Margin,Revenue_Growth,Earnings_Growth,Beta,Momentum_60,Volatility_60,RSI,Cluster,PC1,PC2
SMCI,Technology,XLK,20708927488,27.31496,3.1738334,0.12787,0.03766,-0.155,-0.616,1.516,-0.22911114162868929,0.6308597329679365,43.41203770418646,1,-0.7989570049688502,2.610432849038614
FSLR,Technology,XLK,27643650048,19.755367,3.066311,0.16864,0.27728,0.797,0.457,1.589,0.27719379895512475,0.49175843483882636,54.22179193613665,4,4.376505976017247,-0.9177527302311627
JBL,Technology,XLK,23616583680,37.172295,15.632592,0.40381,0.022049999,0.185,0.692,1.263,0.02843712748900451,0.41204369243929156,72.42821001476429,4,1.1024911875874353,1.1222758705408884
EPAM,Technology,XLK,11339891712,31.036587,3.0168328,0.10207,0.070149995,0.194,-0.194,1.753,0.3043757504022184,0.32406246679844736,86.25368022537991,4,1.673949394124604,2.290068797034889
GDDY,Technology,XLK,17785161728,22.110157,189.46904,3.69454,0.17013,0.103,0.144,0.947,-0.11461844402625077,0.2522583329196796,46.36152305255249,0,1.2493326454401574,-3.892759202205246
UNH,Healthcare,XLV,299751047168,17.243877,3.1299126,0.17476,0.04042,0.122,-0.602,0.432,-0.05535259387639524,0.2694163734068318,56.73865907158383,2,-1.4387382472908623,0.04324969878663374
JNJ,Healthcare,XLV,486508953600,19.491312,6.1289344,0.33619,0.27259,0.068,0.91,0.349,0.14125630534587086,0.1398336523126836,69.39344865660655,2,-0.18460004199781904,-1.7596824321202138
LLY,Healthcare,XLV,905699262464,49.500736,38.03878,0.9647,0.30986,0.539,4.804,0.369,0.3394322181107692,0.32846155374751385,46.33212889926929,3,4.93208041793757,-5.4319271650406895
ABBV,Healthcare,XLV,399570305024,172.58015,-151.22408,1.37961,0.04004,0.091,-0.887,0.349,0.04291401134900186,0.26661190546109526,42.07471641085168,2,-1.5370317585828983,1.7027064716838445
MRK,Healthcare,XLV,249078956032,13.190476,4.783881,0.39485002,0.29632,0.037,0.87,0.299,0.21609757586223322,0.33287521412214305,63.821140984973205,4,0.3183356591010211,-1.1177489988546572
TMO,Healthcare,XLV,215194320896,33.108093,4.217995,0.13116999,0.15022,0.049,0.005,0.902,0.1956872377101806,0.2914020106209495,46.12979604886937,2,-0.10996899349880025,-0.005219286881801934
ABT,Healthcare,XLV,217696616448,15.713568,4.268505,0.3062,0.3188,0.069,0.0,0.714,-0.060523441520263455,0.17390471425164034,34.19391381005366,2,-1.2370527796879438,-2.102815535382238
DHR,Healthcare,XLV,162006663168,46.553497,3.128976,0.06843,0.14435,0.044,0.134,0.923,0.19257922748959988,0.30960248531397805,57.939488922487456,4,0.23170117190062287,0.5599268563529196
PFE,Healthcare,XLV,147998982144,15.133721,1.5948778,0.105979994,0.15654999,-0.059,-0.213,0.42,0.10969205091931333,0.3018766054977617,61.3583167464149,2,-1.1931860661282725,0.29995355200478996
AMGN,Healthcare,XLV,177639391232,25.513535,18.467783,0.8171,0.19474001,0.124,0.136,0.447,0.20208006375013077,0.303418334872177,46.551542905087715,2,0.08267058259515736,-1.2111696178026083
BSX,Healthcare,XLV,144567730176,52.14973,6.1791916,0.12488,0.1443,0.203,0.6,0.674,-0.05053064441308963,0.21097573694577446,33.772753461600914,2,-0.5229896192504803,-1.5240799444730304
ISRG,Healthcare,XLV,206245888000,76.305046,12.060878,0.16902,0.28577998,0.229,0.25,1.686,0.27944324014052424,0.37997876636765276,65.8641363959086,4,2.9443870828873675,0.7206797557626747
SYK,Healthcare,XLV,139209850880,47.834427,6.390127,0.14036,0.12071,0.102,0.028,0.895,-0.04823766644181593,0.19631250259640495,52.30177251547342,2,-0.7816831896256323,-0.2679696924950437
GILD,Healthcare,XLV,150410608640,18.764706,6.9895635,0.40706003,0.27882,0.03,1.43,0.331,0.06557664332266033,0.24213945262812378,41.25232227341654,2,-0.547063556892969,-2.3300903498327785
VRTX,Healthcare,XLV,116780818432,32.053486,6.6788864,0.22307,0.31349,0.11,0.047,0.321,0.15448764959727979,0.24899241076146708,60.13716543225879,2,-0.13246863229123976,-1.0978945563238294
BMY,Healthcare,XLV,106164527104,17.558924,5.723222,0.33777002,0.12572,0.028,0.809,0.302,0.1443021856885658,0.31227944670987823,77.39043574933338,4,-0.2574631491102052,0.040735886854130064
MDT,Healthcare,XLV,130005966848,27.468834,2.6708124,0.09822,0.13706,0.066,0.081,0.723,0.08613146634710889,0.19040037716544864,66.11860187253853,2,-0.7279604140979449,-0.008024427825403871
ELV,Healthcare,XLV,74477723648,13.477995,1.6708428,0.12569,0.028399998,0.123,0.22,0.525,0.06638014752980559,0.2778338247796162,55.46995822402198,2,-0.9540322525487435,-0.0068555402747338305
CI,Healthcare,XLV,70905880576,11.750332,1.6927708,0.15538,0.02293,0.095,1.654,0.263,-0.11834109900812162,0.4662253013631629,46.62502827594898,2,-0.6293310083732603,-0.6282552546892762
REGN,Healthcare,XLV,76137136128,17.210348,2.385421,0.15188,0.32131,0.009,0.18,0.368,0.284394008392598,0.40715181766769554,56.16184449255931,4,0.28918570814682926,-0.36923032055954075
ZTS,Healthcare,XLV,52583723008,19.974747,9.703934,0.49868,0.28211,0.005,0.085,0.971,-0.19660508320560488,0.35257487482861544,46.00368346895775,1,-0.779099481311165,-0.771680022073216
BDX,Healthcare,XLV,55594262528,33.32646,2.1802568,0.06544,0.07683,0.083,0.252,0.277,0.0381075279144214,0.20447946891455696,51.88991867839223,2,-1.414586001045857,-0.5404932978950746
EW,Healthcare,XLV,50602151936,37.80263,4.9044046,0.13492,0.23249,0.147,-0.903,0.967,0.11112547093586223,0.22505133681315045,49.628124880710054,2,-0.35979652100707593,-0.13675393011245715
A,Healthcare,XLV,41246478336,31.835886,6.109175,0.20618999,0.18754,0.094,0.249,1.274,0.18291270962408457,0.28854893003515,47.70293269213031,4,0.4262264605262133,-0.018845071341676553
IQV,Healthcare,XLV,38462255104,31.066025,6.2439523,0.19374001,0.08067001,0.052,0.245,1.369,0.20633481802659404,0.2885833760638989,58.14170944864005,4,0.313456029509649,0.9243992919315533
RMD,Healthcare,XLV,37447651328,26.258953,6.116634,0.25413,0.2735,0.091,0.123,0.867,-0.04804854384763391,0.19300905819163183,68.00712531527793,2,-0.5117692003459077,-0.6420640224508661
IDXX,Healthcare,XLV,57131352064,56.49525,36.592365,0.64633006,0.24654,0.133,0.214,1.668,0.11379723503532513,0.401774266384587,56.222640485968135,4,2.012163177112428,0.27524986240029164
HUM,Healthcare,XLV,31012411392,24.098131,1.6743507,0.07159,0.01022,0.111,-0.593,0.466,-0.06399211333087695,0.46658749012410605,66.1322966069694,1,-0.7969790729678691,1.4746814619406274
DXCM,Healthcare,XLV,25682247680,36.38333,9.369099,0.30635,0.15958999,0.216,1.099,1.515,-0.14077674081720004,0.4913855866280296,81.03591520726047,1,1.8283006079381932,0.9577013645472151
STE,Healthcare,XLV,25930606592,37.719196,3.6848662,0.101339996,0.12073,0.099,0.286,1.014,0.053625714881703423,0.21761622806933556,58.206914214655185,2,-0.3703890294975038,0.07910459571478451
GEHC,Healthcare,XLV,39017791488,17.693583,3.8955238,0.24450001,0.10945,0.058,-0.041,1.244,0.11850771947570582,0.29080400241297555,77.63806734832171,4,0.09455562514307514,1.2370145727190658
COO,Healthcare,XLV,16240318464,39.901962,1.9354686,0.045939997,0.09161,0.046,-0.282,1.049,0.22075586612678144,0.3100958678396634,76.11268809143925,4,0.21546370553282637,1.7079175153933739
PODD,Healthcare,XLV,21433823232,88.514534,15.475197,0.19679001,0.097629994,0.299,0.148,1.375,-0.10910529778836398,0.3704366788660287,39.28760820328544,1,1.0495381602835676,0.15093234836038863
LH,Healthcare,XLV,21472210944,25.382122,2.4659772,0.10135999,0.062129997,0.086,0.56,0.961,-0.0678851459498877,0.24897476372909294,36.779068827672816,2,-1.1209855870305987,-0.5270591231866703
ALGN,Healthcare,XLV,11395581952,30.467056,2.861798,0.095769994,0.095010005,0.018,-0.497,1.859,0.19496814861105127,0.3335756275890402,80.35066614204972,4,0.7662248660902415,2.6056111727141507
MOH,Healthcare,XLV,8230812160,9.356747,1.8479848,0.19708,0.020610001,0.116,-0.734,0.516,-0.16043787864370218,0.5212020284674161,69.97767381978635,1,-0.8910796032608987,1.6034520486262158
WST,Healthcare,XLV,20160702464,41.515556,6.6028132,0.16945,0.16293,0.077,0.038,1.166,0.10632118249652511,0.36801666132296146,68.09206888137116,4,0.6110133930982704,1.056297829998637
HSIC,Healthcare,XLV,8927779840,23.223974,2.5971003,0.08347999,0.03022,0.052,0.077,0.888,0.06680191954278025,0.31098325493729606,59.513469084738574,2,-0.6910206611643007,0.877622543457915
WAT,Healthcare,XLV,23504910336,36.221104,10.083259,0.32987,0.20891,0.08,-0.077,1.163,0.33657191502726436,0.30037776556331347,63.09706542528275,4,0.9408756427533537,0.5811644941518066
DGX,Healthcare,XLV,20408895488,21.42136,2.7912276,0.14353,0.08931,0.132,0.085,0.616,0.002243888067533062,0.2107734852798633,40.38959494808043,2,-1.3366919473156482,-0.8010858678840196
TECH,Healthcare,XLV,9610527744,125.87755,4.886706,0.038,0.06409,-0.01,0.143,1.463,0.2049007865256538,0.39291226979218846,57.7072475813477,4,1.358406888179136,2.4256005511353735
RVTY,Healthcare,XLV,11698955264,51.953606,1.5581907,0.0304,0.08441,0.022,-0.474,1.061,0.21714870154805932,0.327575534695907,66.62540373777298,4,0.08246614687363757,1.786563376027483
INCY,Healthcare,XLV,20127002624,17.405773,4.3230023,0.30389,0.24695,0.2,2.907,0.815,0.23369432642039167,0.30261954400508784,44.89026095907579,2,1.5373112298091547,-2.351568599869878
BIIB,Healthcare,XLV,26597122048,16.526892,1.4607539,0.09307,0.1598,0.028,0.192,0.128,0.251553239595957,0.3251509499084841,71.95782125545949,4,-0.461157441578361,0.2532161239441054
HOLX,Healthcare,XLV,16711205888,30.108435,3.30541,0.11116,0.13796,0.062,0.111,0.704,0.16322738201072728,0.23928164689527207,73.29561956780891,4,-0.3065986588977146,0.4993946057164387
UHS,Healthcare,XLV,14705629184,10.998572,2.0138216,0.20028,0.08093,0.134,0.542,1.274,0.2062897121587619,0.24900666970146315,57.62871356190395,4,0.21734009269928786,0.24727717551228576
DVA,Healthcare,XLV,8393384960,12.127066,-14.569939,0.61618,0.05796,0.048,-0.184,0.994,-0.11849514902957103,0.25429378144456294,38.59649416335252,2,-1.8563599055662066,-0.16631330579012932
JPM,Financial,XLF,866282504192,15.603765,2.5211873,0.16437,0.347,0.088,0.16,1.075,0.03148038052910773,0.1855270278151403,63.324835262416784,4,0.3997240303789825,-1.4128054429291688
BAC,Financial,XLF,399604809728,14.740437,1.42157,0.09871,0.29224002,0.126,0.315,1.304,0.07217011688921615,0.20623380355489085,61.84412405901027,4,0.469193248405098,-0.7766913658457675
WFC,Financial,XLF,287765135360,14.799011,1.7191029,0.115200005,0.26629,0.075,0.169,1.108,0.10854772521810463,0.25660398250079286,68.07866239759184,4,0.30192417732761406,-0.17612688356558115
MS,Financial,XLF,281769213952,18.122177,2.8025022,0.15135,0.23606001,0.191,0.489,1.215,0.13552377763491807,0.23325552102383976,69.71018282969972,4,0.8960712482074676,-0.4123575375656432
GS,Financial,XLF,258693332992,17.362047,2.455498,0.13532,0.29073998,0.207,0.458,1.348,0.10093646087708108,0.24210408457246968,72.1090721095915,4,1.1356744778551509,-0.4619390480613479
C,Financial,XLF,200436957184,15.292134,1.0043447,0.06995,0.19488001,0.116,0.232,1.196,0.10145997220864689,0.23703047292330295,72.53149629489532,4,0.2801883764949247,0.20004618726336099
SPGI,Financial,XLF,152198152192,36.22965,4.5649505,0.119940005,0.28091,0.088,0.241,1.188,-0.08218920939454222,0.23778505312802112,56.18368354342337,2,-0.10918379106849334,-0.6058767373578579
BLK,Financial,XLF,166346604544,27.62587,2.9956973,0.120740004,0.26638,0.252,-0.226,1.484,-0.04097463781052513,0.22893060448469787,55.51551099336348,4,0.47809655171988963,-0.5272685311686669
AXP,Financial,XLF,257719992320,24.872396,7.871581,0.33935001,0.16143999,0.122,0.186,1.147,0.14133725252087492,0.2623859391176647,61.08400321151131,4,0.42788243610567717,-0.051218882783532
SCHW,Financial,XLF,170303881216,21.971897,3.932928,0.17046,0.35930002,0.266,0.775,0.956,0.005841272375600948,0.19275946704950958,47.70716138041093,2,0.4958636787581464,-2.271843090786425
BX,Financial,XLF,186696990720,43.721264,14.190449,0.26457,0.2117,-0.196,-0.214,1.762,-0.1535685415122966,0.28068454374233587,72.41523350625361,1,-0.49818214631547025,1.4836736475586565
CB,Financial,XLF,117613641728,12.332776,1.6188954,0.1364,0.16442,0.091,0.226,0.522,0.060731421157304455,0.17145435863391045,48.67927073633782,2,-1.2463151756136421,-1.125830031182255
MMC,Financial,XLF,89387081728,21.77485,5.879576,0.28734,0.15601,0.115,0.0,0.751,-0.1000019109112048,0.23442729376980934,47.31126648962798,2,-1.1261879938468782,-0.822157552845706
PGR,Financial,XLF,130702696448,12.239979,3.684985,0.34223998,0.12579,0.142,0.121,0.365,-0.10189917093952561,0.22285950307476923,44.444460896855475,2,-1.5671747998079921,-1.3608307907025905
